phrase,label,source
Increases maximum HP by 7%. +1: +8% +2: +9% +3: +10%,,darksouls3
"Can be selected as a Burial Gift during character creation. Can be bought from the Shrine Handmaid in the Firelink Shrine for 1500 souls after acquiring the Dreamchaser's Ashes. +1 (NG+): Located in the Undead Settlement. Behind Siegward while he is waiting to battle the fire demon. +2 (NG+): Lothric Castle. From the dark room where you fight the pus of man in the wyvern's hand, head outside from the back exit. Turn right and drop down off the ledge. The ring is on a corpse. This version can be picked up here starting in NG+. +3 (NG++): In Untended Graves behind Holy King Lothric's throne.",,darksouls3
Sun Princess Ring,,darksouls3
Gradually restores HP (2 HP/second),,darksouls3
Found in Gwynevere's chamber after Aldrich's boss room.,,darksouls3
Increases HP restored with Estus Flask by 20%,,darksouls3
"Found at the bottom of the Tower on the left side of the Firelink Shrine. Requires the Tower Key, sold by the Shrine Handmaid in Firelink Shrine for 20,000 Souls.",,darksouls3
Ashen Estus Ring,,darksouls3
Increases FP restored with Ashen Estus Flask by 20%.,,darksouls3
Located in the Untended Graves. From the first bonfire head to the left most path. The ring is in the coffin surrounded by Corvians.,,darksouls3
Raises stamina recovery speed by 7 points/second +1: +8 stamina/second +2: +9 stamina/second +3: +10 stamina/second,,darksouls3
"Found in Undead Settlement. After defeating the Demon alongside Siegward of Catarina, scale the nearby building and exit onto the adjacent tower by jumping from the roof. Maneuvering down the tower, the ring will be located under several wooden boxes near the Mirrah Armor Set. +1 Version (NG+) Irithyll of the Boreal Valley. Behind the pedestal with the Ring of the Sun's First Born on top of it. Easily accessible by falling from the ledge near Pontiff Sulyvhan's fog gate or walking from the Church of Yorshka. +2 Version (NG++) From the first Road of Sacrifices bonfire, head to the wagon with the two Corvians. To the left is a crow mage. To the left of him there's a ledge that you can drop down to that has the ring. +3 Version ( The Ringed City ): Take the lift down from the Ringed Inner Wall bonfire. This is the shortcut and will be unlocked as you progress this area. As you go down look for the side passage and roll onto it as you go. Find the hole and drop down to the statue of Gwyn to find this ring.",,darksouls3
Increases maximum Equipment Load by 15% +1: +17% +2: +18% +3: +19%,,darksouls3
"Soul Transposition using Soul of a Stray Demon +1 Version (NG+): Archdragon Peak. From the altar that gives you the Twinkling Dragon Torso Stone, go back down the steps. The ring is to the right of the doorway. +2 Version (NG++): On a wooden beam below the Prison Tower bonfire in Irithyll of the Boreal Valley/Anor Londo, after Painting Guardian Curved Sword and the Painting Guardian Set. +3 Version ( The Ringed City ): Just below where you get invaded by Silver Knight Ledo, on the ledges above the swamp.",,darksouls3
Ring of Favor,,darksouls3
"Increases max HP by 3%, stamina by 9% and Equipment Load by 5% +1: +4.5% / +10% / +6% +2: +5% / +11% / +7% +3: +6% / +12% / +8%",,darksouls3
"Defeat Sulyvhan's Beasts near Archdeacon McDonnell. +1 Version (NG+): Can be found in the room of Pontiff Sulyvahn 's bonfire, but is located upstairs. It can be either accessed by the shortcut in the room or taking the path around. +2 Version (NG++): Located in the Cathedral of the Deep. From the Cleansing chapel bonfire, while facing the bonfire. go through the left shortcut, head up the elevator, climb the ladder behind the tower, drop down to the ledge, and follow the path to the top part of the chapel. To the left there is a hollow with a giant axe. behind him is this ring. +3 Version ( The Dreg Heap ) can be found on a corpse, up a large root in the swamp just after the Earthen Peak Ruins bonfire. Retrieve it in order to progress Lapp's questline.",,darksouls3
"Increases VGR (5), END (5), and VIT (5), and reduces absorptions by 4%",,darksouls3
Soul Transposition using Soul of Champion Gundyr.,,darksouls3
Ring of Steel Protection,,darksouls3
Increases physical absorption by 10% (PVP: +2%) +1: +13% (PVP: +3%) +2: +15% (PVP: +4%) +3: +17% (PVP: +5%),,darksouls3
"Found in the boss arena where you fight the Ancient Wyvern. After entering through the fog gate, head up the stairs until you locate the bell. Then proceed to the right, downstairs. There are three items lying on the ground. Next to the items is a thin ledge that players can walk along. At the end of the path is the ring. +1 Version (NG+): Untended Graves behind the tower that is unlocked by the Tower Key +2 Version (NG++): Located in the Catacombs of Carthus. From the Abyss Watchers Bonfire go down and head left until you find a bridge to your right. The bridge will be defended by a large skeleton carrying a sword and shield. Look down to the left and you will notice an item on a pillar. Drop down from the bridge onto the pillar to obtain this ring. Turn around to find the Carthus Pyromancy Tome. +3 Version ( The Ringed City ): Immediately after The Dreg Heap bonfire, head forward and past the horde of enemies to a corpse. When you try to grab it you will fall and the ceiling will break, and you will fall. Once at the bottom, out the only door, there will be an angel-like hollow firing projectiles at you. Drop down and run past it and take cover behind the building. Now circle around to the other side of the building along the planks (leaving yourself exposed to the Angel's beams) to find a corpse with the ring.",,darksouls3
Magic Stoneplate Ring,,darksouls3
Increases magic absorption by 13% (PVP: +4%) +1: +17% (PVP: +5%) +2: +20% (PVP: +6%),,darksouls3
"Dropped from the greatsword-wielding Consumed King's Knight guarding Oceiros, the Consumed King. +1 Version (NG+): Farron Keep bonfire before the swamp. From that bonfire, make a right and proceed to where the Basilisks are. The ring will be in this area. +2 Version (NG++): Start from the Profaned Capital Bonfire. Take the ladder down into the tower and head through the hole in the wall. From there, turn right and go down the stairs. The ring is at the end of the stairs, on the edge of a cliff.",,darksouls3
Flame Stoneplate Ring,,darksouls3
Increases fire absorption by 13% (PVP: +4%) +1: +17% (PVP: +5%) +2: +20% (PVP: +6%),,darksouls3
"Found on a corpse hanging at a tree overlooking the entrance of the tower with the giant in it at Undead Settlement (the same area where you enter the cage to join the Mound Makers). +1 Version (NG+): Located in the Profaned Capital. In the area with the toxic swamp, climb up the building's ladder and walk along the curved part of roof until you see a hole in the wall to your right. Look down, directly across from the broken section of wall is a small ledge to drop onto and the ring will be on a corpse. +2 Version (NG++): Located in the Demon Ruins. From the Old King's Antechamber bonfire, go down the immediate stairs and follow the path until you come to a fork in the path. Left will be an illusionary wall where there will be a Black Knight fighting a Ghru. The ring will be on a corpse near a wall, along with a Black Knight Sword.",,darksouls3
Thunder Stoneplate Ring,,darksouls3
Increases lightning absorption by 13% (PVP: +4%) +1: +17% (PVP: +5%) +2: +20% (PVP: +6%),,darksouls3
"Archdragon Peak: From the second bonfire, proceed through the area until you get outside, then near the wooden scaffold there is a ladder which leads to the ring +1 Version (NG+) Can be found near the Carthus Milkring, among the many pots in the Catacombs of Carthus +2 Version (NG++): Can be found before the Dragonslayer Armour Boss in Lothric Castle. Before the boss fight there's a door lit by torches. Proceed trough the door and up the stairs. Turn left trough another door then left again to find a hole in the stone railing. Drop down to the ledge below and turn right. Follow the ledge to find this ring. The ring is on the same small rooftop that you would drop down to get Caitha's Chime, it's just on the opposite end.",,darksouls3
Dark Stoneplate Ring,,darksouls3
Increases dark absorption by 13% (PVP: +4%) +1: +17% (PVP: +5%) +2: +20% (PVP: +6%),,darksouls3
"In Anor Londo, following the Pontiff Sulyvahn bonfire. The ring will be guarded by Irithyllian Slaves in an area beneath the Deacons casting Fireball. +1 Version (NG+): Lothric Castle Before entering the fog gate for the Dragonslayer Armour, head left and drop down to fight the Pus of Man on the white Wyvern. Next to the Wyvern is a room with a mimic and a doorway out to a balcony. This ring is located on right side the balcony. +2 Version (NG++): Farron Keep, the Keep Ruins bonfire. Leave the room where you find 3 Ghru enemies on a bridge. Cross the bridge, you can find a dilapidated wall to your left. In front of the wall is a flame you need to extinguish to reach the Abyss Watchers. The ring is behind this wall, you'll need to roll through some crucifixes to reach it.",,darksouls3
Speckled Stoneplate Ring,,darksouls3
"Increases magic, fire, lightning and dark absorption by 5% (PVP: +2%) +1: +7% (PVP: +3%)",,darksouls3
"Found on a corpse in Smouldering Lake, behind a destructible wall on the other side from which you enter. Lure a ballista shot to break the wall apart. +1 Version (NG+) Cemetery of Ash. In the arena where you find the first Ravenous Crystal Lizard.",,darksouls3
Increases bleed resistance by 90 points +1: +140,,darksouls3
"Undead Settlement, in the sewers below Cliff Underside bonfire or beside the Dilapidated Bridge bonfire. The Large Hound-Rat will drop the ring. +1 Version (NG+): Smouldering Lake, make your way through the Demon Ruins to find it in front of the ballista.",,darksouls3
Increases poison resistance by 90 points +1: +140,,darksouls3
Near the first short cut at Cathedral of the Deep behind the Ravenous Crystal Lizard. +1 Version (NG+): Undead Settlement In the graveyard beside the white birch tree (Where the giant is shooting great arrows at you/enemies nearby) you'll find a well hidden in a corner. The ring is on a corpse behind the well.,,darksouls3
Increases curse resistance by 150 points,,darksouls3
"Profaned Capital, toxic swamp in the cave under the wooden bridge.",,darksouls3
"Raises poison, bleed, frost and curse resistances by 40 points +1: +60",,darksouls3
"Grand Archives, near the top floor of building just beyond the area with a balcony overhead and multiple Scholars, there will be a set of bookcases to the right of the stairs which lead you to the room. The ring will be located in the corner past the Clawed Curses. +1 Version (NG+): Located in the High Wall of Lothric. From the Tower on the Wall bonfire, head down to the roof with the transforming undead on it. Before descending the ladder to progress further, look to the nearby rooftop with fencing. Jumping will allow you access the rooftop and the ring will be on a corpse. (The item should be visible before jumping to the rooftop if you need confirmation)",,darksouls3
Increases Strength by 5 levels,,darksouls3
"Lothric Castle, near the Sunlight Shrine.",,darksouls3
Increases Dexterity by 5 levels,,darksouls3
Grand Archives - Found at the top of a tower surrounded by three golden Winged Knights before the stairs to Prince Lothric.,,darksouls3
Increase Intelligence by 5 levels,,darksouls3
"Grand Archives - Facing the wooden bridge where the Crystal Sage teleports to, there is a lever to the right, tucked between the bridge and the bookcases. The ring is on a corpse in a chair in the revealed area.",,darksouls3
Increases Faith by 5 levels,,darksouls3
"Sold by the Shrine Handmaid in Untended Graves. Dropped by the Shrine Handmaid in Untended Graves, even if you've already purchased it from her.",,darksouls3
Covetous Gold Serpent Ring,,darksouls3
Increases Item Discovery by 50 points +1: +75 +2: +100 +3: +125,,darksouls3
"Found next to Siegward of Catarina when he is trapped in Irithyll Dungeon. +1 version (NG+): From the Church of Yorshka bonfire in Irithyll of the Boreal Valley, proceed beyond the graveyard to the dark room with the Irithyllian Slaves. As you're exiting the room through the wide arched doorway, scan the right side for a broken section of railing where you can drop down. The ring will be on a corpse wedged in the corner of the ledge. +2 Version (NG++): Archdragon Peak, in a large area that appears on defeating the Nameless King, on the right side of the arena from the gateway that the bonfire is under, the ring rests at the top of the third stairway. You can also find the Dragonslayer Set and a Titanite Slab in this area. +3 Version ( The Ringed City ): All the way down the stairs from the Shira and left and up the ladder immediately on your left in the swamp. Double back across the bridge, defeating the two Ringed Knights. On a corpse in a room past them with Lapp inside.",,darksouls3
Covetous Silver Serpent Ring,,darksouls3
Fallen foes yield +10% more souls +1: +20% +2: +30% +3: +35%,,darksouls3
