phrase,label,source
"The Hunter's Nightmare, cave to the right after getting out of the building that used to be the shortcut to the Cleric Beast. (DLC Weapon)",,bloodborne
Ailing Loran Chalice,,bloodborne
The Hunter's Nightmare. Area to after passing the Nightmare Cathedral. (DLC Weapon),,bloodborne
"Walking down the stairs from the Nightmare Cathedral Lamp in The Hunter's Nightmare, stick to the right and aim for the higher areas. (DLC Weapon)",,bloodborne
Blade of Mercy,,bloodborne
"Can be purchased from the Messengers for 40,000 Blood Echoes after obtaining the Crow Hunter Badgefrom either finishing Eileen's quest or killing her.",,bloodborne
The Hunter's Nightmare cells before Research Hall. Can be obtained after killing Brador. (DLC Weapon),,bloodborne
The Hunter's Nightmare inside the house that used to be the location of the wheelchair gunner. (DLC Weapon),,bloodborne
"Can be purchased from the Messengers for 60,000 Blood Echoes after defeating Gehrman, The First Hunter",,bloodborne
"Can be purchased from the Messengers for 50,000 Blood Echoes after obtaining the Cainhurst Badge",,bloodborne
The Hunter's Nightmare dropped by a hunter wearing Yahar'Gul set in one of the cells that you open with the Underground Cell Key from the Research Hall. (DLC Weapon),,bloodborne
Holy Moonlight Sword,,bloodborne
"The Hunter's Nightmare on the Underground Corpse Pile after the fight against Ludwig, The Holy Blade. (DLC Weapon)",,bloodborne
Acquired at the very beginning of the game from the Messengers or later purchased for 1100 Blood Echoes from them after acquiring the Saw Hunter Badge,,bloodborne
Can be purchased for 3000 Blood Echoes from the Messengers after obtaining the Sword Hunter Badge,,bloodborne
Dropped by Orphan of Kos. (DLC Weapon),,bloodborne
"Can be purchased for 13,000 Blood Echoes from the Messengers after obtaining the Wheel Hunter Badge",,bloodborne
Ludwig's Holy Blade,,bloodborne
"Can be purchased for 20,000 Blood Echoes from the Messengers after obtaining the Radiant Sword Hunter Badge.",,bloodborne
Fishing Hamlet at the bottom of the well. Can be reached from the underground tunnels at the end of the Area or via a ladder in the well right away. (DLC Weapon),,bloodborne
N - Obtained in a chest on the ground floor of Cainhurst Castle.,,bloodborne
Can be purchased for 4000 Blood Echoes from the Messengers after obtaining the Powder Keg Hunter Badgeor obtained from body in Old Yharnam.,,bloodborne
Acquired at the beginning of the game from the Messengers or later purchased for 1000 Blood Echoes from them after finding the Saw Hunter Badge,,bloodborne
Found on body in Central Yharnam or can be purchased for 1000 Blood Echoes from the Messengers after finding the Saw Hunter Badge,,bloodborne
Found on the body of the Harrowed Hunter next to the Lighthouse Hut lantern after answering the first option at the Hunter's Nightmare shortcut. (DLC Weapon),,bloodborne
Can be purchased for 8000 Blood Echoes from the Messengers after obtaining the Powder Keg Hunter Badge,,bloodborne
Acquired at the beginning of the game from the Messengers or later purchased for 1200 Blood Echoes from them after finding the Saw Hunter Badge,,bloodborne
"Found on a body in Hypogean Gaol or can be purchased from Messengers for 26,000 Blood Echoes after obtaining Spark Hunter Badge",,bloodborne
